date,title,url,pending
2019-12-13,Some fixes for .NET bindings for wasmtime,https://github.com/bytecodealliance/wasmtime/pull/718,
2019-12-5,Fix GC hole in .NET bindings for wasmtime,https://github.com/bytecodealliance/wasmtime/pull/680,
2019-10-25,Normalize git commondir path in sourcelink,https://github.com/dotnet/sourcelink/pull/463,
2019-3-27, Allow using reletive paths with .NET single file bundler,https://github.com/dotnet/core-setup/pull/5594,
2018-10-27,Check for InsufficientExecutionStackException by type rather than by name,https://github.com/dotnet/roslyn/pull/30817,
2018-10-26,Remove some dead code related to cross-appdomain exceptions,https://github.com/dotnet/coreclr/pull/20634,
2018-10-7,Remove ancient Rotor code from CoreCLR,https://github.com/dotnet/coreclr/pull/20298,
2018-10-7,Remove ancient Rotor commonts from CoreCLR,https://github.com/dotnet/coreclr/pull/20298,
2018-10-4,Remove obselete remoting code from CoreCLR,https://github.com/dotnet/coreclr/pull/20277,
2018-5-7,Fix double unlock in nni_posix_pollq_fini,https://github.com/nanomsg/nng/pull/418,
2018-3-27,Add support for BindingFlags.DoNotWrapExceptions to Mono,https://github.com/mono/mono/pull/7863,
2017-9-2,Add support for BindingFlags.DoNotWrapExceptions to CoreCLR,https://github.com/dotnet/coreclr/pull/13767,
2017-5-2,Fix Access Violation (segfault) in System.Reflection.DispatchProxy,https://github.com/dotnet/corefx/pull/19181,
2017-3-23,Fix backwards compatibility bug between dotnet.exe and hostpolicy.dll,https://github.com/dotnet/core-setup/pull/1818,
2017-3-16,Fix formating in Nuget documentation,https://github.com/NuGet/docs.microsoft.com-nuget/pull/217,
2017-3-14,Fix .NET CoreFx native build on FreeBSD,https://github.com/dotnet/corefx/pull/17091,
2017-3-2,Removing CoreCLR hosting methods that always return false,https://github.com/dotnet/coreclr/pull/9930,
2017-3-1,Remove CLRThreadpoolHosted as it always returns false,https://github.com/dotnet/coreclr/pull/9899,
2017-1-13,Add basic support for inheritdoc to DocFx,https://github.com/dotnet/docfx/pull/1178,
2016-10-27,Fix conversion from CorJitFlag2 enum to JitFlag,https://github.com/dotnet/coreclr/pull/7857,
2016-7-22,Fix crash in ILSpy when opening .NET Core assemblies,https://github.com/icsharpcode/ILSpy/pull/739,
2016-7-12,Fix crash in Mono.Cecil when opening .NET Core PDBs,https://github.com/jbevain/cecil/pull/279,
2016-6-27,Fix contributor list links for .NET Core 1.0 release,https://github.com/dotnet/core/pull/163,
2016-2-15,Refactor 'dotnet help' command,https://github.com/dotnet/cli/pull/1231,
2016-2-13,Fix console colors in .NET CLI,https://github.com/dotnet/cli/pull/1212,
2016-2-4,More efficiently invoke commands in the .NET CLI,https://github.com/dotnet/cli/pull/1208,
2015-12-1,Fix DllImport in .NET Native,https://github.com/dotnet/corert/pull/450,
2015-7-8,Fix StringBuilder leak in .NET Core on Unix,https://github.com/dotnet/corefx/pull/2277,
2015-6-1,Small doc fix in Joyent's sdc-cnapi documentation,https://github.com/joyent/sdc-cnapi/pull/4,
2012-12-28,Documentation fix in zsnapper,https://github.com/calmh/zsnapper.old/pull/1,
